# engine,Box3DBench_Piles
# metadata,scenario,Piles,bodies,1024,workers,8
# unity,6000.6.0f1
# date,2026-09-04T22:32:34.0325088-05:00
# warmupSteps,60
# summary_ms,avg,0.8477,median,0.8049,p95,1.1163,p99,1.2781,min,0.7247,max,1.4873,stddev,0.1179
step,ms
0,1.4873
1,1.2780
2,1.2488
3,1.3380
4,1.2287
5,1.1595
6,1.2625
7,1.1036
8,1.1137
9,1.2147
10,1.1455
11,1.2922
12,1.4259
13,1.3138
14,1.1472
15,1.2873
16,1.2605
17,1.0725
18,1.1486
19,1.0325
20,1.0263
21,0.9796
22,1.0769
23,1.1271
24,1.0030
25,0.9887
26,0.9747
27,0.9788
28,1.1159
29,1.0451
30,1.2357
31,0.9803
32,1.0962
33,0.9468
34,0.9884
35,0.9614
36,0.9731
37,0.9282
38,1.1518
39,0.9786
40,0.9693
41,0.9735
42,0.9723
43,1.1747
44,1.2172
45,1.2057
46,1.1666
47,0.9197
48,0.8884
49,0.9142
50,0.9995
51,0.8867
52,0.9524
53,0.9203
54,0.9198
55,0.9015
56,0.8747
57,0.8422
58,0.9017
59,0.8540
60,0.8481
61,0.8987
62,0.9014
63,0.9145
64,0.9202
65,0.9820
66,0.9673
67,1.0441
68,0.8686
69,0.8843
70,0.8162
71,0.8804
72,0.8939
73,1.0137
74,0.9219
75,0.8610
76,0.8434
77,0.9345
78,0.8489
79,0.9688
80,0.8563
81,0.8111
82,0.8107
83,0.8108
84,0.8404
85,0.8304
86,0.8378
87,0.9549
88,0.8306
89,0.8318
90,0.7806
91,1.0816
92,0.8206
93,0.8424
94,0.8168
95,0.8006
96,0.8141
97,0.8035
98,0.7902
99,0.8385
100,0.7802
101,0.8544
102,0.7909
103,0.7983
104,0.8195
105,0.8259
106,0.8781
107,0.7978
108,0.7747
109,0.8047
110,0.9169
111,0.8103
112,0.8243
113,0.8303
114,0.8763
115,1.1239
116,0.8037
117,0.9958
118,0.8710
119,0.9676
120,0.9346
121,0.9530
122,0.8578
123,0.7794
124,0.8302
125,0.8548
126,0.9454
127,1.0267
128,0.8461
129,0.8474
130,0.8688
131,0.8415
132,0.8954
133,0.8241
134,1.2353
135,0.8060
136,0.8408
137,0.7955
138,0.8449
139,0.7808
140,0.7802
141,0.7937
142,0.7951
143,0.7766
144,0.7983
145,0.7824
146,0.8153
147,0.7837
148,0.8246
149,0.7942
150,0.8115
151,0.7832
152,0.7928
153,0.7857
154,0.8798
155,0.8564
156,0.8456
157,0.9404
158,0.9166
159,0.8792
160,0.8542
161,0.7985
162,0.8063
163,0.8161
164,0.9270
165,0.7960
166,0.7856
167,0.8003
168,0.7883
169,0.8485
170,0.8068
171,0.7715
172,0.7886
173,0.7823
174,0.7940
175,0.8092
176,0.7941
177,0.8534
178,0.8163
179,0.7999
180,1.0138
181,0.8019
182,0.8803
183,0.7783
184,0.7900
185,0.8532
186,0.7913
187,0.7923
188,0.7788
189,0.7703
190,0.9904
191,0.7954
192,0.8033
193,0.7773
194,0.7720
195,0.7999
196,0.7626
197,0.8233
198,0.7846
199,0.8275
200,0.8214
201,0.7793
202,0.7709
203,0.8018
204,0.8167
205,0.7648
206,1.1119
207,0.7991
208,0.9756
209,0.7740
210,0.7840
211,0.8126
212,0.8533
213,0.8442
214,0.8307
215,0.8011
216,0.8494
217,0.7521
218,0.7822
219,0.9720
220,0.8785
221,0.7690
222,0.9462
223,0.7886
224,0.7979
225,0.7801
226,0.7509
227,0.7664
228,0.8008
229,0.7747
230,0.8987
231,0.8224
232,0.8145
233,0.8101
234,0.9290
235,0.7817
236,0.7647
237,0.7574
238,0.7732
239,0.9150
240,0.8019
241,0.7637
242,0.7470
243,0.7897
244,0.8962
245,0.8765
246,0.9236
247,0.9333
248,0.8302
249,0.7664
250,0.7617
251,0.8240
252,0.7844
253,0.7528
254,0.7697
255,0.9425
256,0.8132
257,0.8382
258,0.8084
259,0.8064
260,0.8474
261,0.7828
262,0.7935
263,0.7443
264,0.8495
265,0.8484
266,0.8029
267,0.7713
268,0.7592
269,0.8113
270,0.7751
271,0.7947
272,0.7877
273,0.7734
274,0.8384
275,0.7731
276,0.7722
277,0.7773
278,0.8274
279,0.7646
280,0.8952
281,0.8620
282,0.8809
283,0.8111
284,0.8000
285,0.8602
286,0.8350
287,0.7685
288,0.7520
289,0.7695
290,0.7606
291,0.7480
292,0.7937
293,0.8007
294,0.7721
295,0.7922
296,0.7949
297,0.7831
298,0.7948
299,0.7638
300,0.7452
301,0.7488
302,0.7651
303,0.7679
304,0.7877
305,0.8626
306,0.7770
307,0.7946
308,0.7720
309,0.8044
310,0.8527
311,0.8896
312,0.8299
313,0.8767
314,0.7995
315,0.7750
316,0.9654
317,0.8389
318,0.7471
319,0.8465
320,0.7886
321,0.7698
322,0.8798
323,0.8620
324,0.8416
325,0.7843
326,0.7900
327,0.8506
328,0.8233
329,0.7662
330,0.8403
331,0.7648
332,0.8350
333,0.7599
334,0.8586
335,0.8901
336,0.7907
337,0.8549
338,0.7718
339,0.7736
340,0.7755
341,0.7457
342,0.7790
343,0.7502
344,0.7975
345,0.8315
346,0.8527
347,0.7720
348,0.7916
349,1.0798
350,0.7432
351,0.7535
352,0.7494
353,0.8202
354,0.8298
355,0.8727
356,0.7953
357,0.8037
358,0.7938
359,0.7990
360,0.7997
361,0.7527
362,0.7588
363,0.7805
364,0.7486
365,0.7844
366,0.7581
367,0.7447
368,0.7633
369,0.7993
370,0.7703
371,0.7747
372,0.7385
373,0.7947
374,0.7749
375,0.8063
376,0.8620
377,0.8307
378,0.7721
379,1.0678
380,0.8218
381,0.7962
382,0.9329
383,0.7610
384,0.8719
385,0.9627
386,0.9469
387,0.8270
388,1.1070
389,0.7475
390,0.7739
391,0.8380
392,0.8354
393,0.7526
394,1.2182
395,1.0225
396,0.7516
397,0.8265
398,0.8353
399,0.7873
400,0.8245
401,0.8512
402,0.7494
403,0.7791
404,0.8481
405,0.7676
406,0.7805
407,0.7941
408,0.8048
409,0.7830
410,0.7615
411,0.8496
412,0.9254
413,0.9995
414,0.7571
415,0.7506
416,0.7687
417,0.7661
418,0.7790
419,0.7678
420,0.7823
421,0.8780
422,0.7686
423,0.8531
424,0.8175
425,0.7690
426,0.7728
427,0.7780
428,0.9171
429,0.7901
430,0.7853
431,0.8169
432,0.7620
433,0.8236
434,0.8672
435,0.8058
436,0.7939
437,0.9206
438,0.7611
439,0.8785
440,0.7819
441,0.7515
442,0.8993
443,0.7479
444,0.7530
445,0.7277
446,0.7448
447,0.8364
448,0.9161
449,0.7874
450,0.7639
451,0.7390
452,0.7962
453,0.7577
454,0.7343
455,0.7812
456,0.7303
457,0.7647
458,0.7497
459,0.7518
460,0.8110
461,0.7534
462,0.7286
463,0.7649
464,0.8798
465,0.7976
466,0.8148
467,1.1354
468,0.7848
469,0.8315
470,0.8287
471,0.7748
472,0.8512
473,1.0081
474,0.8692
475,0.8092
476,0.9093
477,0.7828
478,0.7907
479,0.7778
480,0.7938
481,1.1020
482,1.0157
483,0.7855
484,0.8482
485,1.0521
486,0.7766
487,0.8474
488,0.8072
489,0.8098
490,0.9307
491,0.8314
492,0.7646
493,1.1317
494,1.1375
495,0.8276
496,0.7757
497,0.7324
498,0.9073
499,0.9750
500,0.8570
501,0.7870
502,0.7670
503,0.7668
504,0.7462
505,0.8075
506,0.7786
507,0.7325
508,0.7415
509,0.7732
510,0.7570
511,0.7368
512,0.7403
513,0.8072
514,0.7719
515,0.8088
516,0.7863
517,0.7448
518,0.8535
519,0.7398
520,0.9838
521,0.7742
522,0.7537
523,0.7374
524,0.9349
525,0.7565
526,0.7596
527,0.7763
528,0.7417
529,0.9229
530,0.8379
531,0.7476
532,0.7891
533,0.7505
534,0.9186
535,0.7497
536,0.7898
537,0.7897
538,0.8704
539,0.7864
540,0.7455
541,0.7791
542,0.7922
543,0.7385
544,0.7334
545,0.7447
546,0.7514
547,0.8293
548,0.7597
549,0.7851
550,0.7247
551,0.7460
552,0.7316
553,0.7420
554,0.7800
555,0.8050
556,0.8085
557,0.7295
558,0.7586
559,0.7279
560,1.1111
561,0.7860
562,0.7383
563,0.7478
564,0.7343
565,0.7947
566,0.8014
567,0.9345
568,0.7948
569,0.8539
570,0.8439
571,1.0251
572,1.1548
573,0.9538
574,0.7807
575,0.7924
576,0.9901
577,0.7638
578,0.7812
579,0.7563
580,0.7333
581,0.7963
582,0.7660
583,0.7417
584,0.7431
585,0.7353
586,0.8243
587,0.7344
588,0.7473
589,0.7510
590,0.7600
591,0.7745
592,0.8529
593,0.7584
594,0.8009
595,0.7687
596,0.7546
597,0.7321
598,0.7546
599,0.7696
